# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "8" "-a" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/3.refrence_genome/Phytozome/PhytozomeV13/Zmays/Zm-B73-REFERENCE-NAM-5.0.55/annotation/Zmays_833_Zm-B73-REFERENCE-NAM-5.0.55.gene.gff3" "-F" "GFF" "-t" "gene" "-g" "ID" "-o" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/5.read_counts/gene_counts.txt" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859242_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859243_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859244_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859245_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859242_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859243_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859244_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859245_sorted.bam
Zm00001eb000010.Zm_B73_REFERENCE_NAM_5.0.55	1	34617	40204	+	5588	305	361	297	286
Zm00001eb000020.Zm_B73_REFERENCE_NAM_5.0.55	1	41214	46762	-	5549	2741	3681	4886	3566
Zm00001eb000050.Zm_B73_REFERENCE_NAM_5.0.55	1	108554	114382	-	5829	0	4	8	0
Zm00001eb000060.Zm_B73_REFERENCE_NAM_5.0.55	1	188559	189581	-	1023	993	1473	1131	915
Zm00001eb000070.Zm_B73_REFERENCE_NAM_5.0.55	1	190192	198832	-	8641	2869	3393	2265	2222
Zm00001eb000080.Zm_B73_REFERENCE_NAM_5.0.55	1	200262	203393	-	3132	1484	2271	1680	1293
Zm00001eb000100.Zm_B73_REFERENCE_NAM_5.0.55	1	206619	209723	-	3105	0	0	0	0
Zm00001eb000110.Zm_B73_REFERENCE_NAM_5.0.55	1	246422	247242	-	821	0	0	0	0
Zm00001eb000120.Zm_B73_REFERENCE_NAM_5.0.55	1	315219	315846	+	628	0	0	0	1
Zm00001eb000140.Zm_B73_REFERENCE_NAM_5.0.55	1	325307	326897	-	1591	0	0	0	3
Zm00001eb000150.Zm_B73_REFERENCE_NAM_5.0.55	1	328087	328525	+	439	6	6	7	12
Zm00001eb000170.Zm_B73_REFERENCE_NAM_5.0.55	1	550834	564766	-	13933	1696	1834	1369	1194
Zm00001eb000180.Zm_B73_REFERENCE_NAM_5.0.55	1	551078	552061	+	984	0	0	0	0
Zm00001eb000190.Zm_B73_REFERENCE_NAM_5.0.55	1	679957	708016	-	28060	1778	2621	2655	1904
Zm00001eb000200.Zm_B73_REFERENCE_NAM_5.0.55	1	679957	680801	+	845	0	0	0	0
Zm00001eb000210.Zm_B73_REFERENCE_NAM_5.0.55	1	1003108	1014318	+	11211	1412	1696	1345	1237
Zm00001eb000220.Zm_B73_REFERENCE_NAM_5.0.55	1	1018151	1020839	+	2689	1175	1516	1135	864
